ANO;M“S;REGIONAL;MODALIDADE;OPERADOR;DISTRITO;MASSA (t);VIAGENS;PERCURSO (Km);Hora (h:mm);DIAS;COLETORES;HORAS;CLASSE
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.01A;238,76;32;1.279,00;108:42:00;12;47;108,70;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.02A;211,93;30;1.236,00;91:45:00;12;48;91,75;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.03A;222,75;31;1.157,00;86:29:00;12;46;86,48;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.04A;236,20;30;1.177,00;97:43:00;12;47;97,72;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.05A;240,20;30;1.128,00;89:50:00;12;48;89,83;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.06A;211,08;27;1.106,00;83:30:00;12;46;83,50;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.18A;219,73;32;1.171,00;101:13:00;12;47;101,22;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.19A;246,58;31;1.207,00;106:11:00;12;48;106,18;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.20A;262,43;32;1.069,00;93:10:00;12;47;93,17;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.21A;267,64;32;1.302,00;114:25:00;12;46;114,42;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.22A;265,91;31;1.214,00;103:55:00;12;46;103,92;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.24A;295,25;33;1.181,00;112:05:00;12;48;112,08;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.27A;233,37;30;1.149,00;100:39:00;12;46;100,65;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.07B;169,31;26;1.082,00;83:10:00;13;52;83,17;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.08B;226,64;30;1.145,00;108:11:00;13;50;108,18;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.09B;210,95;29;1.115,00;87:01:00;13;51;87,02;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.10B;154,71;24;1.046,00;72:35:00;13;50;72,58;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.11B;214,64;30;1.213,00;90:15:00;13;51;90,25;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.12B;198,30;29;1.156,00;89:53:00;13;52;89,88;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.14B;238,22;30;1.195,00;98:35:00;13;50;98,58;RDO
2016;Janeiro;NORDESTE;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;NE.15B;225,50;30;1.091,00;102:15:00;13;50;102,25;RDO
