Codigo unidade,Nome oficial,Nome popular,Area,Perimetro,Aberto,Legislacao,Cercamento,Telefone,Nome categoria,Ano criacao,Ano abertura,Endereco,Bairro popular,TGC,Regional,Zoneamento 2019,Bacia hidrografica
1001,CEVAE Taquaril,,"9007,73","398,48",Sim,,Sim,3277-5637,CEVAE,1996,1996,"Rua Dois Mil Duzentos e Quarenta e Sete, 1000",Granja de Freitas,L4,Leste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
1002,CEVAE Capitao Eduardo,,"15387,34","590,68",Sim,,Sim,3277-7976,CEVAE,1996,1996,"Rua Macaubas, 200",Capitao Eduardo,NE1,Nordeste,Preservacao Ambiental - 1,Bacia do Rio das Velhas
1003,CEVAE Morro das Pedras,,"6442,21","342,49",Sim,,Sim,3277-6873,CEVAE,1996,1996,"Rua Belfort Roxo, 215",Nova Granada,O1,Oeste,Ocupacao Moderada - 3,Bacia do Ribeirao Arrudas
1004,CEVAE Serra Verde,,"21939,1","765,85",Sim,,Sim,3277-5556,CEVAE,1996,1996,"Rua Sebastiao Gomes Pereira, 140",Serra Verde,VN1,Venda Nova,Preservacao Ambiental - 2,Bacia do Ribeirao do Isidoro
1005,CEVAE Coqueiros,,"13608,58","644,59",Sim,Decreto Municipal n°. 13.077/2008,Sim,3277-9254,CEVAE,2008,2008,"Rua Eneida, 635",Coqueiros,NO3,Noroeste,Ocupacao Moderada - 3,Bacia do Ribeirao do Onca
2001,Cemiterio do Bonfim,,"148129,51","2238,84",Sim,,Sim,3277-8120 / 3277-8121,Necropole,1897,1897,"Rua Bonfim, 1120",Bonfim,NO1,Noroeste,Area de Grandes Equipamentos de Uso Coletivo,Bacia do Ribeirao Arrudas
2002,Cemiterio da Saudade,,"177779,86","1779,33",Sim,,Sim,3277-6040 / 3277-6101,Necropole,1942,1942,"Pca Louis Braille, 585",Saudade,L3,Leste,Area de Grandes Equipamentos de Uso Coletivo,Bacia do Ribeirao Arrudas
2003,Cemiterio da Paz,,"281577,05","2179,62",Sim,,Parcial,3277-8304 / 3277-7199,Necropole,1967,1967,"Av. Presidente Carlos Luz, 850",Caicaras,NO2,Noroeste,Area de Grandes Equipamentos de Uso Coletivo,Bacia do Ribeirao do Onca
2004,Cemiterio da Consolacao,,"57891,04","925,95",Sim,,Sim,3277-5505,Necropole,1979,1979,"Rua Jose Gomes Domingues, 2000",Jaqueline,N1,Norte,Area de Grandes Equipamentos de Uso Coletivo,Bacia do Ribeirao do Isidoro
2005,Velorio Municipal Vicente Rodrigues de Paula,Capela Velorio do Barreiro,"719,11","108,05",Sim,,Sim,3277-5927,Necropole,1996,1996,"Rua Vicente De Azevedo, 393",Barreiro,B2,Barreiro,Ocupacao Preferencial - 2,Bacia do Ribeirao Arrudas
3001,Parque Municipal Americo Renne Giannetti,Parque Municipal,"192739,69","2138,21",Sim,Lei nº. 0.483/1955,Sim,3277-4161,Parque,1897,1897,"Av. Afonso Pena, 1377",Centro,CS1,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
